question_id,student_answer,reference_answer,score,method,similarity,passed,gt_answer,cer
Q0081,y,&apos;,0.0,tfidf_similarity,0.0,False,&apos;,1.0
Q0082,Vyholas,nicholas,0.7031,tfidf_similarity,0.7031,True,Nicholas,0.375
Q0083,fomathing,furnishing,0.1716,tfidf_similarity,0.3432,False,furnishing,0.5
Q0084,iow,followed,0.0316,tfidf_similarity,0.0633,False,followed,0.75
Q0085,ye,&apos;ve,0.0192,tfidf_similarity,0.0384,False,&apos;ve,0.875
Q0086,abou,about,0.7257,tfidf_similarity,0.7257,True,about,0.2
Q0087,brill,will,0.2181,tfidf_similarity,0.4361,False,will,0.5
Q0088,bree,three,0.2372,tfidf_similarity,0.4743,False,three,0.4
Q0089,rfervesh,interests,0.0397,tfidf_similarity,0.0794,False,interests,0.6666666666666666
Q0090,ae,&quot;,0.0,tfidf_similarity,0.0,False,&quot;,1.0
Q0091,ee,for,0.0,tfidf_similarity,0.0,False,For,1.0
Q0092,Ok,like,0.0,tfidf_similarity,0.0,False,like,0.75
Q0093,CaQwme,came,0.6335,tfidf_similarity,0.6335,True,came,0.5
Q0094,ra,not,0.0,tfidf_similarity,0.0,False,not,1.0
Q0095,woq,way,0.0494,tfidf_similarity,0.0988,False,way,0.6666666666666666
Q0096,took,took,1.0,exact_match,1.0,True,took,0.0
Q0097,Nigel,nigel,1.0,exact_match,1.0,True,Nigel,0.0
Q0098,War,was,0.1855,tfidf_similarity,0.3709,False,was,0.3333333333333333
Q0099,es,yes,0.1869,tfidf_similarity,0.3738,False,Yes,0.3333333333333333
Q0100,on,&apos;m,0.0,tfidf_similarity,0.0,False,&apos;m,0.8571428571428571
Q0101,Titolo,turtledove,0.0134,tfidf_similarity,0.0269,False,Turtledove,0.7
Q0102,ah,what,0.0,tfidf_similarity,0.0,False,what,0.75
Q0103,Oona,own,0.0415,tfidf_similarity,0.083,False,own,0.6666666666666666
Q0104,not,not,1.0,exact_match,1.0,True,not,0.0
Q0105,Aeag,bring,0.0621,tfidf_similarity,0.1242,False,bring,0.8
Q0106,af,that,0.0,tfidf_similarity,0.0,False,that,0.75
Q0107,Clee,close,0.1783,tfidf_similarity,0.3565,False,close,0.4
Q0108,kowERGe,allowance,0.0413,tfidf_similarity,0.0826,False,allowance,0.6666666666666666
Q0109,lec,her,0.0,tfidf_similarity,0.0,False,her,0.6666666666666666
Q0110,Ceo,show,0.0,tfidf_similarity,0.0,False,show,0.75
Q0111,togebler,together,0.6236,tfidf_similarity,0.6236,True,together,0.25
Q0112,Nous,now,0.1773,tfidf_similarity,0.3546,False,Now,0.6666666666666666
Q0113,cary,ring,0.0,tfidf_similarity,0.0,False,ring,1.0
Q0114,Ws,his,0.0437,tfidf_similarity,0.0874,False,his,0.6666666666666666
Q0115,Cobert,come,0.1179,tfidf_similarity,0.2358,False,come,0.75
Q0116,really,really,1.0,exact_match,1.0,True,really,0.0
Q0117,Releray,belleray,0.6302,tfidf_similarity,0.6302,True,Belleray,0.25
Q0118,en,them,0.0,tfidf_similarity,0.0,False,them,0.75
Q0119,Ww,&quot;,0.0,tfidf_similarity,0.0,False,&quot;,1.0
Q0120,Wich,wish,0.1704,tfidf_similarity,0.3407,False,wish,0.25
Q0121,LAGT,man,0.0,tfidf_similarity,0.0,False,man,1.0
Q0122,Slaves,slaves,1.0,exact_match,1.0,True,slaves,0.0
Q0123,you,you,1.0,exact_match,1.0,True,you,0.0
Q0124,ANAL,that,0.0,tfidf_similarity,0.0,False,that,0.75
Q0125,wl,will,0.1658,tfidf_similarity,0.3316,False,will,0.5
Q0126,hile,white,0.0524,tfidf_similarity,0.1048,False,white,0.4
Q0127,He,the,0.1938,tfidf_similarity,0.3877,False,the,0.3333333333333333
Q0128,Aaat,don&apos;t,0.026,tfidf_similarity,0.0521,False,don&apos;t,0.8
Q0129,gubmerines,submarines,0.5721,tfidf_similarity,0.5721,True,submarines,0.2
Q0130,legli,thought,0.0,tfidf_similarity,0.0,False,thought,0.8571428571428571
Q0131,counly,country,0.5168,tfidf_similarity,0.5168,True,country,0.2857142857142857
Q0132,oh,&apos;,0.0,tfidf_similarity,0.0,False,&apos;,0.8333333333333334
Q0133,curd,card,0.1745,tfidf_similarity,0.3489,False,card,0.25
Q0134,LY,gay,0.0435,tfidf_similarity,0.087,False,Gay,0.6666666666666666
Q0135,Qe,she,0.0494,tfidf_similarity,0.0988,False,She,0.6666666666666666
Q0136,Aha,the,0.0,tfidf_similarity,0.0,False,the,0.6666666666666666
Q0137,brtenany,ordinary,0.055,tfidf_similarity,0.11,False,ordinary,0.5
Q0138,yeh,that,0.0,tfidf_similarity,0.0,False,that,1.0
Q0139,COA,corner,0.1448,tfidf_similarity,0.2895,False,corner,0.6666666666666666
Q0140,LO,went,0.0,tfidf_similarity,0.0,False,went,1.0
Q0141,all,with,0.0,tfidf_similarity,0.0,False,with,1.0
Q0142,comd,and,0.0317,tfidf_similarity,0.0635,False,and,1.0
Q0143,bul,but,0.2364,tfidf_similarity,0.4729,False,but,0.3333333333333333
Q0144,hay,this,0.0,tfidf_similarity,0.0,False,this,0.75
Q0145,yy,&apos;,0.0,tfidf_similarity,0.0,False,&apos;,1.0
Q0146,aly,only,0.1426,tfidf_similarity,0.2851,False,only,0.5
Q0147,kta,know,0.0829,tfidf_similarity,0.1658,False,know,0.75
Q0148,Lf,&quot;,0.0,tfidf_similarity,0.0,False,&quot;,1.0
Q0149,Ahrwetinr,between,0.069,tfidf_similarity,0.138,False,between,0.8571428571428571
Q0150,Mey,they,0.2009,tfidf_similarity,0.4019,False,they,0.5
Q0151,duu,him,0.0,tfidf_similarity,0.0,False,him,1.0
Q0152,Roblote,robbie,0.2327,tfidf_similarity,0.4655,False,Robbie,0.5
Q0153,Head,new,0.0,tfidf_similarity,0.0,False,new,1.0
Q0154,Rhestleag,fleshless,0.079,tfidf_similarity,0.158,False,fleshless,0.5555555555555556
Q0155,fraberag,making,0.0211,tfidf_similarity,0.0422,False,making,1.0
Q0156,Aagchiva,angelina,0.0822,tfidf_similarity,0.1643,False,Angelina,0.5
Q0157,uUbruloln,wouldn&apos;t,0.0342,tfidf_similarity,0.0683,False,wouldn&apos;t,0.8461538461538461
Q0158,about,about,1.0,exact_match,1.0,True,about,0.0
Q0159,Yer,them,0.0,tfidf_similarity,0.0,False,them,0.75
Q0160,ees,eyes,0.1393,tfidf_similarity,0.2785,False,eyes,0.25
Q0161,Delveytisee,advertiser,0.1666,tfidf_similarity,0.3332,False,Advertiser,0.5
Q0162,BA,all,0.0,tfidf_similarity,0.0,False,all,1.0
Q0163,enisy,enjoy,0.1569,tfidf_similarity,0.3138,False,enjoy,0.4
Q0164,of,off,0.6367,tfidf_similarity,0.6367,True,off,0.3333333333333333
Q0165,deal,real,0.6238,tfidf_similarity,0.6238,True,real,0.25
Q0166,oP,&quot;,0.0,tfidf_similarity,0.0,False,&quot;,0.8333333333333334
Q0167,Seek,security,0.1174,tfidf_similarity,0.2348,False,security,0.75
Q0168,hhomndsame,handsome,0.1793,tfidf_similarity,0.3585,False,handsome,0.5
Q0169,che,she,0.1405,tfidf_similarity,0.281,False,she,0.3333333333333333
Q0170,SOA,relief,0.0,tfidf_similarity,0.0,False,relief,1.0
Q0171,ntktiatlornr,situation,0.0422,tfidf_similarity,0.0844,False,situation,0.7777777777777778
Q0172,opaisoduy,genuinely,0.015,tfidf_similarity,0.03,False,genuinely,0.8888888888888888
Q0173,qtou,them,0.0,tfidf_similarity,0.0,False,them,1.0
Q0174,geile,quite,0.0135,tfidf_similarity,0.0271,False,quite,0.6
Q0175,neeclodn,needed,0.1867,tfidf_similarity,0.3734,False,needed,0.6666666666666666
Q0176,CONK,cons,0.5626,tfidf_similarity,0.5626,True,cons,0.25
Q0177,CARA,arm,0.0385,tfidf_similarity,0.077,False,arm,0.6666666666666666
Q0178,ld,rested,0.0297,tfidf_similarity,0.0594,False,rested,0.8333333333333334
Q0179,only,only,1.0,exact_match,1.0,True,only,0.0
Q0180,FerOIag,knowing,0.034,tfidf_similarity,0.068,False,knowing,0.7142857142857143
Q0181,Wil,and,0.0,tfidf_similarity,0.0,False,and,1.0
Q0182,sheers,sheets,0.6164,tfidf_similarity,0.6164,True,sheets,0.16666666666666666
Q0183,dirt,dirt,1.0,exact_match,1.0,True,dirt,0.0
Q0184,precrunabts,presumably,0.1789,tfidf_similarity,0.3577,False,presumably,0.5
Q0185,ype,&apos;ve,0.0248,tfidf_similarity,0.0495,False,&apos;ve,0.75
Q0186,Bak,but,0.0496,tfidf_similarity,0.0992,False,but,0.6666666666666666
Q0187,sexed,exactly,0.0559,tfidf_similarity,0.1118,False,exactly,0.8571428571428571
Q0188,fe,the,0.0705,tfidf_similarity,0.1409,False,the,0.6666666666666666
Q0189,Somethine,something,0.8683,tfidf_similarity,0.8683,True,something,0.1111111111111111
Q0190,ge,given,0.0525,tfidf_similarity,0.1051,False,given,0.6
Q0191,sredy,ready,0.2134,tfidf_similarity,0.4268,False,ready,0.4
Q0192,Srimettad,grimstead,0.1405,tfidf_similarity,0.2811,False,Grimstead,0.3333333333333333
Q0193,SCEbyoS,news,0.0354,tfidf_similarity,0.0708,False,news,1.0
Q0194,Mnin,than,0.0417,tfidf_similarity,0.0834,False,than,0.75
Q0195,villa,wild,0.0555,tfidf_similarity,0.1109,False,wild,0.75
Q0196,Voker,taken,0.0569,tfidf_similarity,0.1138,False,taken,0.6
Q0197,lave,have,0.2472,tfidf_similarity,0.4945,False,have,0.25
Q0198,Ceylptaced,employment,0.0,tfidf_similarity,0.0,False,employment,0.9
Q0199,pokey,poky,0.5987,tfidf_similarity,0.5987,True,poky,0.25
Q0200,You,you,1.0,exact_match,1.0,True,You,0.0
